sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
32983629344,2021-07-15T06:00:30Z,87,21,21,45,80,57,0.0924908424908425
32973090419,2021-07-14T07:02:30Z,77,19,20,38,48,56,0.08952187182095625
32956624232,2021-07-13T05:22:30Z,83,21,20,42,64,56,0.0967741935483871
32943914513,2021-07-12T05:42:30Z,82,20,23,39,93,59,0.09398907103825137
32932554209,2021-07-11T06:54:30Z,79,20,14,45,92,57,0.07867298578199051
32919100839,2021-07-10T06:12:30Z,82,20,20,42,37,56,0.07803790412486064
32906772789,2021-07-09T05:38:30Z,81,18,21,42,69,56,0.08990011098779134
32892383255,2021-07-08T06:27:30Z,85,21,18,46,73,55,0.0969807868252516
32881402358,2021-07-07T06:37:30Z,79,21,21,37,49,56,0.0907715582450832
32867139749,2021-07-06T06:33:30Z,88,20,22,46,92,59,0.07621671258034894
32854500102,2021-07-05T07:12:30Z,68,17,11,40,90,57,0.1091753774680604
32829670918,2021-07-03T06:49:00Z,80,17,22,41,57,56,0.07793633369923161
32816778175,2021-07-02T05:29:00Z,73,17,20,36,57,57,0.11779141104294479
32803238285,2021-07-01T06:21:00Z,84,22,20,42,100,58,0.10011123470522804
32788319613,2021-06-30T06:13:30Z,79,17,21,41,81,59,0.09378407851690294
32774722199,2021-06-29T06:06:00Z,88,21,22,45,61,61,0.08678102926337034
32746787971,2021-06-27T07:12:30Z,72,17,18,37,66,61,0.09483960948396095
32734839429,2021-06-26T07:45:00Z,76,21,18,37,54,60,0.04889589905362776
32719091647,2021-06-25T06:44:30Z,80,19,18,43,79,59,0.09643788010425716
32706571497,2021-06-24T05:54:00Z,72,17,19,36,71,58,0.08675263774912075
32693094502,2021-06-23T06:03:30Z,85,19,21,45,76,58,0.08740894901144641
32678689727,2021-06-22T06:19:30Z,77,18,19,40,50,58,0.11402508551881414
32664501631,2021-06-21T06:26:30Z,90,21,23,46,69,60,0.07428040854224698
32651622443,2021-06-20T06:40:30Z,66,19,12,35,50,58,0.11502029769959404
32641278990,2021-06-19T07:14:30Z,79,17,21,41,52,61,0.10022271714922049
32641278989,2021-06-18T07:08:00Z,82,21,21,40,43,62,0.08535031847133757
32641278988,2021-06-17T06:42:00Z,87,21,21,45,59,62,0.0881516587677725
32641278987,2021-06-16T06:17:30Z,88,21,21,46,65,62,0.09421000981354269
32589970299,2021-06-15T06:15:30Z,83,20,22,41,87,63,0.07650273224043716
32562659310,2021-06-13T06:27:00Z,67,17,13,37,61,61,0.10513141426783479
32538632954,2021-06-11T06:46:30Z,89,20,23,46,81,61,0.08115942028985507
32465771653,2021-06-06T08:06:00Z,77,18,15,44,95,60,0.12170753860127158
32451505802,2021-06-05T06:32:30Z,83,21,20,42,47,59,0.08793686583990981
32440480383,2021-06-04T06:41:00Z,80,21,18,41,85,59,0.11752360965372508
32423139602,2021-06-03T06:31:30Z,81,20,20,41,59,59,0.10532030401737243
32409181309,2021-06-02T05:37:30Z,78,19,20,39,53,60,0.10261780104712041
32398303770,2021-06-01T06:49:30Z,84,17,22,45,43,62,0.08
32385286062,2021-05-31T07:15:00Z,77,16,22,39,30,64,0.08062709966405375
32372035305,2021-05-30T07:20:30Z,76,17,16,43,49,65,0.11512844909609896
32359343331,2021-05-29T06:42:00Z,72,17,13,42,86,62,0.06896551724137931
32347200287,2021-05-28T06:36:30Z,84,18,22,44,47,65,0.09931840311587146
32334310494,2021-05-27T06:41:30Z,82,20,20,42,42,64,0.07192575406032482
32321117913,2021-05-26T06:31:30Z,89,22,21,46,90,66,0.0787704130643612
32308496454,2021-05-25T06:11:00Z,78,21,14,43,58,64,0.06496815286624204
32294942731,2021-05-24T06:00:30Z,82,16,22,44,39,66,0.06890299184043518
32282858195,2021-05-23T06:46:00Z,67,18,12,37,74,64,0.09327036599763873
32270223551,2021-05-22T07:42:30Z,75,17,19,39,34,64,0.08779011099899092
32255857552,2021-05-21T06:34:00Z,82,21,19,42,54,63,0.06625
32239642886,2021-05-20T05:59:30Z,78,18,17,43,43,61,0.07099879663056559
32212409052,2021-05-18T05:31:30Z,63,13,10,40,36,58,0.17281348788198103
32197655456,2021-05-17T07:02:30Z,83,17,21,45,77,58,0.08542713567839195
32184585152,2021-05-16T05:30:30Z,74,18,20,36,39,57,0.10196078431372549
32171382160,2021-05-15T05:06:00Z,77,17,20,40,60,58,0.09623430962343096
32157931639,2021-05-14T04:33:30Z,77,17,20,40,25,58,0.08756756756756756
32145477259,2021-05-13T04:52:30Z,73,21,13,39,53,56,0.09766162310866575
32133160639,2021-05-12T06:29:30Z,80,18,20,42,66,55,0.09020044543429843
32118097796,2021-05-11T06:43:00Z,78,20,12,46,76,54,0.09919028340080972
32104496725,2021-05-10T06:20:00Z,88,21,21,46,46,55,0.10433979686057249
32090828569,2021-05-09T05:47:00Z,81,17,21,43,14,56,0.05982905982905983
32078188278,2021-05-08T06:41:30Z,84,17,22,45,53,57,0.08844953173777315
32063658119,2021-05-07T07:05:30Z,86,20,22,44,62,59,0.09355131698455948
32050370233,2021-05-06T06:26:30Z,77,14,22,41,25,62,0.09392898052691867
32037282477,2021-05-05T06:30:30Z,81,20,22,39,51,64,0.08515057113187954
32025154318,2021-05-04T07:16:00Z,84,16,22,46,39,66,0.07361376673040153
32009732175,2021-05-03T07:16:00Z,76,18,15,43,104,65,0.11731843575418995
31991726842,2021-05-02T05:10:30Z,64,16,11,37,43,63,0.13513513513513514
31985380545,2021-05-01T07:03:30Z,82,21,16,45,65,61,0.09171597633136094
31971752432,2021-04-30T06:23:00Z,79,18,21,40,61,61,0.07422680412371134
31956759189,2021-04-29T06:44:30Z,76,20,11,45,41,60,0.11156601842374617
31941285672,2021-04-28T06:32:30Z,69,16,22,31,51,61,0.06461086637298091
31927547498,2021-04-27T06:05:00Z,86,20,21,45,65,63,0.0941402497598463
31914176417,2021-04-26T06:12:30Z,82,16,21,45,45,66,0.09582059123343527
31902543697,2021-04-25T06:20:00Z,71,19,13,39,76,62,0.07022106631989597
31902543696,2021-04-24T06:39:00Z,78,21,15,42,72,62,0.09079903147699758
31862309100,2021-04-22T06:08:00Z,81,20,20,41,34,61,0.10337323177366703
31849687693,2021-04-21T06:31:30Z,85,20,19,46,39,61,0.10710808179162609
31832137292,2021-04-20T06:14:00Z,85,21,22,42,43,62,0.07692307692307693
31818446726,2021-04-19T06:16:30Z,77,16,19,42,82,61,0.11938872970391595
31804859494,2021-04-18T05:55:00Z,74,15,20,39,33,61,0.1021021021021021
31791926348,2021-04-17T06:30:30Z,80,21,19,40,57,61,0.10221285563751317
31780052611,2021-04-16T06:39:30Z,86,21,20,45,51,62,0.11401869158878504
31762983600,2021-04-15T05:32:30Z,77,20,18,39,29,62,0.11220715166461159
31751386180,2021-04-14T06:33:30Z,87,19,22,46,53,63,0.07025986525505294
31734526171,2021-04-13T04:41:30Z,72,15,21,36,37,66,0.11960542540073983
31720337699,2021-04-12T07:00:30Z,81,18,21,42,61,68,0.1231945624468989
31704213943,2021-04-11T06:50:30Z,69,19,12,38,52,66,0.09583858764186633
31692113104,2021-04-10T06:51:00Z,80,17,16,47,49,65,0.08226495726495726
31665015559,2021-04-08T07:11:30Z,79,17,22,40,34,65,0.08636836628511967
31648795235,2021-04-07T05:53:00Z,80,19,18,43,32,64,0.07403189066059225
31632391755,2021-04-06T06:01:30Z,72,18,14,40,60,62,0.13160854893138357
31618268495,2021-04-05T06:55:30Z,83,18,20,45,43,62,0.08973172987974098
31604076207,2021-04-04T06:44:30Z,81,17,19,45,43,65,0.1106233538191396
31592900485,2021-04-03T07:40:30Z,64,16,11,37,64,61,0.1303395399780942
31578560122,2021-04-02T07:11:30Z,83,20,18,45,72,60,0.09777777777777778
31565519673,2021-04-01T06:13:30Z,83,21,20,42,42,61,0.11610076670317634
31552212156,2021-03-31T07:09:00Z,83,21,21,41,61,63,0.08985200845665962
31537668576,2021-03-30T06:46:30Z,80,18,21,41,33,65,0.08487486398258977
31523884868,2021-03-29T06:46:30Z,78,17,18,43,45,66,0.12489082969432315
31510404052,2021-03-28T07:29:30Z,63,16,13,34,58,63,0.07561728395061729
31496664298,2021-03-27T06:56:30Z,56,17,10,29,37,61,0.14634146341463414
31485455539,2021-03-26T07:07:00Z,84,20,18,46,36,62,0.15004748338081672
31473141885,2021-03-25T07:17:30Z,81,18,18,45,21,61,0.12105798575788403
31458950574,2021-03-24T07:07:30Z,83,19,20,44,55,62,0.10265811182401467
31445049020,2021-03-23T06:36:30Z,84,18,21,45,47,63,0.09090909090909091
31428282969,2021-03-22T07:14:30Z,68,16,19,33,50,64,0.10745233968804159
